Name,Gender,Maths,English,Physics,Chemistry,Biology,Total,Average
Joshua,Male,83,73,100,79,95,430,86.0
Aisha,Female,88,94,99,91,57,429,85.8
Ahmed,Male,79,85,97,79,46,386,77.2
Grace,Male,71,65,95,66,74,371,74.2
Martha,Male,76,77,88,78,50,369,73.8
Halima,Male,93,68,56,44,95,356,71.2
David,Female,48,100,41,93,72,354,70.8
Samuel,Female,94,50,54,88,48,334,66.8
Peter,Female,85,79,55,47,63,329,65.8
Adamu,Female,60,56,51,74,88,329,65.8
Fatima,Female,59,70,62,85,45,321,64.2
Zainab,Male,67,50,41,83,61,302,60.4
Maryam,Male,83,53,72,44,42,294,58.8
John,Female,49,42,82,43,77,293,58.6
Ibrahim,Female,91,66,50,41,43,291,58.2
